tx_id,user_id,user_tier,card_number,amount,merchant,merchant_category,region,datetime,date,hour,day_of_week,day_name,is_weekend,time_slot,is_suspected_fraud,fraud_type,fraud_reason
63f944d8,user_00311,normal,4532-****-****-4450,50000,요기요,delivery,서울,2026-01-30 00:07:33,2026-01-30,0,4,금,False,dawn,False,,
7660717a,user_00413,normal,4532-****-****-5920,29000,쿠팡이츠,delivery,서울,2026-01-30 00:08:54,2026-01-30,0,4,금,False,dawn,False,,
05d2b1c4,user_00317,normal,4532-****-****-5114,819000,야놀자,travel,서울,2026-01-30 00:11:02,2026-01-30,0,4,금,False,dawn,False,,
ccce6b96,user_00316,premium,4532-****-****-9004,29000,배달의민족,delivery,인천,2026-01-30 00:14:07,2026-01-30,0,4,금,False,dawn,False,,
6fdb9e5f,user_00269,normal,4532-****-****-9565,13000,미니스톱,convenience,인천,2026-01-30 00:20:05,2026-01-30,0,4,금,False,dawn,False,,
821ab167,user_00488,normal,4532-****-****-5050,5300,미니스톱,convenience,서울,2026-01-30 00:21:02,2026-01-30,0,4,금,False,dawn,False,,
e902a239,user_00029,normal,4532-****-****-4527,55000,요기요,delivery,경기,2026-01-30 00:22:48,2026-01-30,0,4,금,False,dawn,False,,
ee4ebe62,user_00042,normal,4532-****-****-7201,28000,배달의민족,delivery,경기,2026-01-30 00:35:20,2026-01-30,0,4,금,False,dawn,False,,
ccce6dbe,user_00112,normal,4532-****-****-2876,28000,요기요,delivery,대전,2026-01-30 00:49:01,2026-01-30,0,4,금,False,dawn,False,,
34de7379,user_00245,normal,4532-****-****-4566,21000,요기요,delivery,서울,2026-01-30 00:52:27,2026-01-30,0,4,금,False,dawn,False,,
b014feff,user_00396,normal,4532-****-****-9379,24000,요기요,delivery,인천,2026-01-30 00:55:52,2026-01-30,0,4,금,False,dawn,False,,
65e7d03f,user_00115,normal,4532-****-****-6573,195000,쿠팡,online_shopping,부산,2026-01-30 00:58:34,2026-01-30,0,4,금,False,dawn,False,,
decedfb0,user_00036,premium,4532-****-****-6635,97000,쿠팡이츠,delivery,대전,2026-01-30 01:09:47,2026-01-30,1,4,금,False,dawn,False,,
77959679,user_00186,normal,4532-****-****-4510,26000,요기요,delivery,서울,2026-01-30 01:12:57,2026-01-30,1,4,금,False,dawn,False,,
73ecf473,user_00097,normal,4532-****-****-9348,8400,CU,convenience,제주,2026-01-30 01:14:46,2026-01-30,1,4,금,False,dawn,False,,
ee712c8a,user_00498,normal,4532-****-****-5451,25000,배달의민족,delivery,광주,2026-01-30 01:33:54,2026-01-30,1,4,금,False,dawn,False,,
e23b8fde,user_00184,normal,4532-****-****-5562,33000,요기요,delivery,인천,2026-01-30 01:34:50,2026-01-30,1,4,금,False,dawn,False,,
5f82946b,user_00395,premium,4532-****-****-8149,22000,쿠팡이츠,delivery,울산,2026-01-30 01:41:28,2026-01-30,1,4,금,False,dawn,False,,
5fa2e6bd,user_00361,normal,4532-****-****-3608,29000,요기요,delivery,대구,2026-01-30 01:46:09,2026-01-30,1,4,금,False,dawn,False,,
03c754a4,user_00193,premium,4532-****-****-4119,102000,요기요,delivery,경기,2026-01-30 01:46:19,2026-01-30,1,4,금,False,dawn,False,,
277018f6,user_00246,premium,4532-****-****-1958,37000,네이버쇼핑,online_shopping,경기,2026-01-30 01:48:23,2026-01-30,1,4,금,False,dawn,False,,
3a362061,user_00160,premium,4532-****-****-6107,43000,요기요,delivery,인천,2026-01-30 01:59:20,2026-01-30,1,4,금,False,dawn,False,,
a658e49f,user_00383,normal,4532-****-****-9785,3900,이마트24,convenience,제주,2026-01-30 02:02:03,2026-01-30,2,4,금,False,dawn,False,,
9eb3d323,user_00389,premium,4532-****-****-5349,13000,이마트24,convenience,제주,2026-01-30 02:03:05,2026-01-30,2,4,금,False,dawn,False,,
5f581c65,user_00174,vip,4532-****-****-1117,171000,무신사,online_shopping,서울,2026-01-30 02:11:33,2026-01-30,2,4,금,False,dawn,False,,
1f661a22,user_00332,normal,4532-****-****-2232,109000,SSG닷컴,online_shopping,인천,2026-01-30 02:26:54,2026-01-30,2,4,금,False,dawn,False,,
da9b7fa8,user_00186,normal,4532-****-****-4510,7400,GS25,convenience,서울,2026-01-30 03:53:08,2026-01-30,3,4,금,False,dawn,False,,
12edfa20,user_00417,normal,4532-****-****-6344,22000,이마트24,convenience,제주,2026-01-30 04:29:07,2026-01-30,4,4,금,False,dawn,False,,
0c60c159,user_00253,premium,4532-****-****-9238,148000,SSG닷컴,online_shopping,광주,2026-01-30 04:51:32,2026-01-30,4,4,금,False,dawn,False,,
b0e09ca2,user_00428,normal,4532-****-****-1006,9500,미니스톱,convenience,서울,2026-01-30 04:54:08,2026-01-30,4,4,금,False,dawn,False,,
c2daacb0,user_00452,normal,4532-****-****-1757,20000,GS25,convenience,경기,2026-01-30 05:03:33,2026-01-30,5,4,금,False,dawn,False,,
ccd21d81,user_00070,normal,4532-****-****-5422,238000,SSG닷컴,online_shopping,서울,2026-01-30 05:07:18,2026-01-30,5,4,금,False,dawn,False,,
d50fde50,user_00175,normal,4532-****-****-2163,7200,GS25,convenience,인천,2026-01-30 05:17:57,2026-01-30,5,4,금,False,dawn,False,,
03888877,user_00024,normal,4532-****-****-3615,20000,세븐일레븐,convenience,경기,2026-01-30 05:43:32,2026-01-30,5,4,금,False,dawn,False,,
4a63550a,user_00086,premium,4532-****-****-3340,6200,CU,convenience,서울,2026-01-30 05:50:15,2026-01-30,5,4,금,False,dawn,False,,
9cecad4f,user_00303,normal,4532-****-****-2697,6200,이마트24,convenience,경기,2026-01-30 06:00:08,2026-01-30,6,4,금,False,morning,False,,
f7aca9d2,user_00425,normal,4532-****-****-5930,5300,본죽,restaurant,서울,2026-01-30 06:03:24,2026-01-30,6,4,금,False,morning,False,,
4b7089b4,user_00371,normal,4532-****-****-4728,22000,한신포차,restaurant,부산,2026-01-30 06:04:49,2026-01-30,6,4,금,False,morning,False,,
4bd757c8,user_00368,normal,4532-****-****-8541,8500,버거킹,restaurant,서울,2026-01-30 06:06:17,2026-01-30,6,4,금,False,morning,False,,
460c63c2,user_00144,normal,4532-****-****-4946,17000,한신포차,restaurant,제주,2026-01-30 06:07:43,2026-01-30,6,4,금,False,morning,False,,
80d67f9b,user_00127,normal,4532-****-****-5889,471000,네이버쇼핑,online_shopping,제주,2026-01-30 06:10:48,2026-01-30,6,4,금,False,morning,False,,
2bebd19e,user_00286,normal,4532-****-****-9808,147000,SSG닷컴,online_shopping,인천,2026-01-30 06:14:11,2026-01-30,6,4,금,False,morning,False,,
c7c89e54,user_00258,normal,4532-****-****-2312,6900,이마트24,convenience,대구,2026-01-30 06:17:23,2026-01-30,6,4,금,False,morning,False,,
a2b12ce1,user_00447,normal,4532-****-****-6085,24000,한신포차,restaurant,서울,2026-01-30 06:17:54,2026-01-30,6,4,금,False,morning,False,,
ece0654a,user_00080,premium,4532-****-****-4456,9700,피자헛,restaurant,경기,2026-01-30 06:18:47,2026-01-30,6,4,금,False,morning,False,,
e0d48db5,user_00156,normal,4532-****-****-7932,8200,교촌치킨,restaurant,광주,2026-01-30 06:19:17,2026-01-30,6,4,금,False,morning,False,,
83202494,user_00103,premium,4532-****-****-3621,7100,CU,convenience,인천,2026-01-30 06:19:48,2026-01-30,6,4,금,False,morning,False,,
467a3ed9,user_00136,normal,4532-****-****-6310,23000,본죽,restaurant,인천,2026-01-30 06:21:41,2026-01-30,6,4,금,False,morning,False,,
b4d2db5e,user_00230,normal,4532-****-****-4502,5300,새마을식당,restaurant,서울,2026-01-30 06:22:23,2026-01-30,6,4,금,False,morning,False,,
ad02c469,user_00489,normal,4532-****-****-5543,18000,본죽,restaurant,서울,2026-01-30 06:23:24,2026-01-30,6,4,금,False,morning,False,,
f8587468,user_00216,normal,4532-****-****-8579,10000,새마을식당,restaurant,경기,2026-01-30 06:24:19,2026-01-30,6,4,금,False,morning,False,,
71b57645,user_00238,normal,4532-****-****-8454,86000,11번가,online_shopping,서울,2026-01-30 06:24:34,2026-01-30,6,4,금,False,morning,False,,
98da4fd0,user_00339,normal,4532-****-****-3088,18000,버거킹,restaurant,대전,2026-01-30 06:28:34,2026-01-30,6,4,금,False,morning,False,,
cb81dff7,user_00149,normal,4532-****-****-9727,161000,네이버쇼핑,online_shopping,부산,2026-01-30 06:29:06,2026-01-30,6,4,금,False,morning,False,,
5b357fd9,user_00252,premium,4532-****-****-8811,40000,맥도날드,restaurant,광주,2026-01-30 06:29:12,2026-01-30,6,4,금,False,morning,False,,
876cd6dd,user_00221,vip,4532-****-****-1828,17000,한신포차,restaurant,서울,2026-01-30 06:30:07,2026-01-30,6,4,금,False,morning,False,,
f8a18879,user_00036,premium,4532-****-****-6635,26000,맥도날드,restaurant,대전,2026-01-30 06:30:19,2026-01-30,6,4,금,False,morning,False,,
e8deae24,user_00235,normal,4532-****-****-1035,21000,한신포차,restaurant,제주,2026-01-30 06:30:26,2026-01-30,6,4,금,False,morning,False,,
58ffa45e,user_00423,normal,4532-****-****-7211,5500,CU,convenience,대전,2026-01-30 06:33:03,2026-01-30,6,4,금,False,morning,False,,
5ef9eaf9,user_00220,premium,4532-****-****-2604,14000,GS25,convenience,울산,2026-01-30 06:34:31,2026-01-30,6,4,금,False,morning,False,,
caa3ced0,user_00427,normal,4532-****-****-9977,22000,새마을식당,restaurant,경기,2026-01-30 06:36:11,2026-01-30,6,4,금,False,morning,False,,
facb9dee,user_00482,premium,4532-****-****-9976,17000,한신포차,restaurant,광주,2026-01-30 06:36:46,2026-01-30,6,4,금,False,morning,False,,
36da0d7d,user_00165,normal,4532-****-****-8397,77000,교촌치킨,restaurant,서울,2026-01-30 06:39:48,2026-01-30,6,4,금,False,morning,False,,
7564eb35,user_00405,premium,4532-****-****-9821,10000,버거킹,restaurant,경기,2026-01-30 06:40:37,2026-01-30,6,4,금,False,morning,False,,
a35b1bcb,user_00499,normal,4532-****-****-6502,8300,이마트24,convenience,울산,2026-01-30 06:42:53,2026-01-30,6,4,금,False,morning,False,,
6132d179,user_00150,normal,4532-****-****-3060,19000,새마을식당,restaurant,서울,2026-01-30 06:47:16,2026-01-30,6,4,금,False,morning,False,,
32bcc32d,user_00062,normal,4532-****-****-5374,5000,세븐일레븐,convenience,제주,2026-01-30 06:48:20,2026-01-30,6,4,금,False,morning,False,,
c9d1683d,user_00213,normal,4532-****-****-7912,7100,GS25,convenience,서울,2026-01-30 06:52:14,2026-01-30,6,4,금,False,morning,False,,
04c5f604,user_00222,normal,4532-****-****-9856,50000,맥도날드,restaurant,서울,2026-01-30 06:52:50,2026-01-30,6,4,금,False,morning,False,,
00394251,user_00165,normal,4532-****-****-8397,23000,미니스톱,convenience,서울,2026-01-30 06:58:42,2026-01-30,6,4,금,False,morning,False,,
63a2c547,user_00412,normal,4532-****-****-3041,8900,CU,convenience,경기,2026-01-30 07:03:53,2026-01-30,7,4,금,False,morning,False,,
6ccbca60,user_00155,normal,4532-****-****-9645,6900,투썸플레이스,coffee,인천,2026-01-30 07:04:55,2026-01-30,7,4,금,False,morning,False,,
53079d3c,user_00249,normal,4532-****-****-6138,3400,스타벅스,coffee,제주,2026-01-30 07:05:40,2026-01-30,7,4,금,False,morning,False,,
76c82d90,user_00481,normal,4532-****-****-7991,3100,스타벅스,coffee,인천,2026-01-30 07:05:47,2026-01-30,7,4,금,False,morning,False,,
5ae46e66,user_00030,premium,4532-****-****-6514,9900,이마트24,convenience,경기,2026-01-30 07:07:25,2026-01-30,7,4,금,False,morning,False,,
82b15208,user_00458,normal,4532-****-****-4185,20000,세븐일레븐,convenience,경기,2026-01-30 07:08:47,2026-01-30,7,4,금,False,morning,False,,
2b21f5e5,user_00195,premium,4532-****-****-2588,20000,버거킹,restaurant,대구,2026-01-30 07:10:28,2026-01-30,7,4,금,False,morning,False,,
e32c00d6,user_00093,premium,4532-****-****-7543,20000,맥도날드,restaurant,경기,2026-01-30 07:10:39,2026-01-30,7,4,금,False,morning,False,,
b75bd612,user_00092,normal,4532-****-****-8019,4500,미니스톱,convenience,서울,2026-01-30 07:12:06,2026-01-30,7,4,금,False,morning,False,,
00c0a577,user_00009,normal,4532-****-****-7912,8900,피자헛,restaurant,대전,2026-01-30 07:12:17,2026-01-30,7,4,금,False,morning,False,,
2e6a00bb,user_00221,vip,4532-****-****-1828,18000,빽다방,coffee,서울,2026-01-30 07:14:04,2026-01-30,7,4,금,False,morning,False,,
5d022e40,user_00422,normal,4532-****-****-7888,8900,스타벅스,coffee,서울,2026-01-30 07:14:06,2026-01-30,7,4,금,False,morning,False,,
d3b6ce1f,user_00099,normal,4532-****-****-2489,11000,세븐일레븐,convenience,서울,2026-01-30 07:15:04,2026-01-30,7,4,금,False,morning,False,,
6fac387f,user_00244,normal,4532-****-****-5861,135000,무신사,online_shopping,경기,2026-01-30 07:15:10,2026-01-30,7,4,금,False,morning,False,,
9a7481ca,user_00118,normal,4532-****-****-8123,1600,CU,convenience,서울,2026-01-30 07:15:10,2026-01-30,7,4,금,False,morning,False,,
9aa9c2ce,user_00175,normal,4532-****-****-2163,5300,이디야,coffee,인천,2026-01-30 07:15:43,2026-01-30,7,4,금,False,morning,False,,
e2bebee2,user_00200,premium,4532-****-****-8651,6100,스타벅스,coffee,경기,2026-01-30 07:18:29,2026-01-30,7,4,금,False,morning,False,,
5ee9e269,user_00484,premium,4532-****-****-3607,10000,피자헛,restaurant,대구,2026-01-30 07:19:03,2026-01-30,7,4,금,False,morning,False,,
7935ef56,user_00377,normal,4532-****-****-5564,21000,맥도날드,restaurant,경기,2026-01-30 07:19:06,2026-01-30,7,4,금,False,morning,False,,
5d1397fb,user_00238,normal,4532-****-****-8454,3000,투썸플레이스,coffee,서울,2026-01-30 07:19:17,2026-01-30,7,4,금,False,morning,False,,
c319098a,user_00257,premium,4532-****-****-9320,1900,세븐일레븐,convenience,인천,2026-01-30 07:19:33,2026-01-30,7,4,금,False,morning,False,,
